time,ax,ay,az,atotal
0.000,0.47,-0.05,0.08,0.48
0.010,0.24,-0.05,-0.01,0.24
0.020,0.15,-0.00,-0.06,0.16
0.030,0.09,-0.02,-0.06,0.11
0.040,0.04,0.06,-0.07,0.10
0.050,0.03,0.07,-0.06,0.10
0.060,0.07,-0.03,-0.04,0.08
0.070,0.09,-0.10,-0.00,0.13
0.080,0.06,-0.08,0.00,0.10
0.090,-0.02,-0.03,0.01,0.04
0.100,-0.24,0.05,-0.00,0.25
0.110,-0.32,0.10,-0.02,0.34
0.120,-0.26,0.14,-0.01,0.30
0.130,-0.09,0.13,0.03,0.16
0.140,0.08,0.05,0.08,0.13
0.150,0.10,0.00,0.05,0.12
0.160,0.17,-0.00,0.01,0.17
0.170,0.20,0.05,0.07,0.21
0.180,0.12,0.09,0.02,0.15
0.190,0.02,0.08,-0.01,0.08
0.200,-0.03,0.11,0.15,0.19
0.210,-0.00,0.16,0.31,0.35
0.220,0.08,0.12,0.30,0.34
0.231,0.17,0.10,0.24,0.31
0.240,0.19,-0.01,0.26,0.32
0.250,0.17,0.10,0.29,0.35
0.261,0.18,0.10,0.29,0.35
0.271,0.11,0.13,0.30,0.35
0.281,0.00,0.13,0.31,0.33
0.291,-0.12,0.16,0.42,0.46
0.301,-0.27,0.20,0.32,0.46
0.311,-0.34,0.20,0.17,0.43
0.321,-0.25,0.18,0.22,0.38
0.331,-0.26,0.13,0.24,0.38
0.341,-0.28,0.16,0.09,0.33
0.351,-0.34,0.06,0.14,0.37
0.361,-0.20,0.02,0.02,0.20
0.371,0.12,0.09,-0.09,0.18
0.381,0.18,0.34,-0.09,0.39
0.391,0.21,0.19,-0.23,0.36
0.401,0.41,-0.26,-0.30,0.57
0.411,0.44,-0.34,-0.22,0.60
0.421,0.33,-0.12,0.03,0.35
0.431,0.35,0.36,0.02,0.51
0.441,0.41,0.31,0.10,0.52
0.451,0.47,-0.02,0.25,0.53
0.461,0.35,-0.02,0.27,0.44
0.471,0.09,0.06,0.35,0.37
0.481,0.11,0.12,0.36,0.40
0.491,0.23,0.14,0.33,0.43
0.501,0.28,0.15,0.27,0.42
0.511,0.20,0.16,0.38,0.46
0.521,0.11,0.21,0.47,0.52
0.531,0.00,0.22,0.55,0.59
0.541,-0.04,0.20,0.58,0.61
0.551,0.20,0.23,0.53,0.62
0.561,0.31,0.27,0.41,0.58
0.571,0.21,0.21,0.45,0.54
0.581,0.11,0.30,0.57,0.65
0.591,-0.00,0.40,0.40,0.57
0.601,-0.06,0.34,0.30,0.46
0.611,-0.08,0.28,0.42,0.51
0.621,-0.07,0.24,0.31,0.40
0.631,0.01,0.26,0.15,0.30
0.641,0.05,0.15,-0.07,0.18
0.651,0.09,0.01,-0.12,0.15
